,Symbol,Description,Category2,Category3,Sector,Market cap,Dividend yield,Country,Action
156,PANW,Palo Alto Networks Inc,Common stocks,Large cap,Information Technology,"$56,076,062,344",0.00%,USA,Analyze
157,IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$55,526,246,263",0.00%,USA,Analyze
158,DXCM,Dexcom Inc,Common stocks,Large cap,Health Care,"$55,233,928,736",0.00%,USA,Analyze
159,XLNX,Xilinx Inc,Common stocks,Large cap,Information Technology,"$55,222,798,854",0.17%,USA,Analyze
160,EMR,Emerson Electric,Common stocks,Large cap,Industrials,"$54,831,933,000",2.19%,USA,Analyze
161,MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$54,294,629,601",0.00%,USA,Analyze
162,IQV,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"$54,046,175,774",0.00%,USA,Analyze
163,WDAY,Workday Inc,Common stocks,Large cap,Information Technology,"$53,914,550,000",0.00%,USA,Analyze
164,ZM,"Zoom Video Communications, Inc. - Class A",Common stocks,Large cap,Information Technology,"$53,609,153,580",0.00%,USA,Analyze
165,EXC,Exelon Corp,Common stocks,Large cap,Utilities,"$53,595,008,095",2.76%,USA,Analyze
166,EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"$53,114,468,475",1.72%,USA,Analyze
167,CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$53,114,072,650",0.00%,USA,Analyze
168,MET,Metlife Inc,Common stocks,Large cap,Financials,"$52,564,100,461",3.01%,USA,Analyze
169,ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$52,127,398,324",0.00%,USA,Analyze
170,DG,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"$52,062,134,384",0.72%,USA,Analyze
171,SPG,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"$52,061,866,554",3.64%,USA,Analyze
172,APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"$51,986,555,089",0.73%,USA,Analyze
173,ROP,Roper Technologies Inc,Common stocks,Large cap,Industrials,"$51,448,944,349",0.46%,USA,Analyze
174,KDP,Keurig Dr Pepper Inc.,Common stocks,Large cap,Consumer Staples,"$51,202,593,159",1.86%,USA,Analyze
175,MSCI,MSCI Inc,Common stocks,Large cap,Financials,"$51,015,553,222",0.59%,USA,Analyze
176,ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$50,978,257,823",0.72%,USA,Analyze
177,MNST,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"$50,162,388,102",0.00%,USA,Analyze
178,LULU,Lululemon Athletica Inc,Common stocks,Large cap,Consumer Discretionary,"$49,729,429,377",0.00%,USA,Analyze
179,CMG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"$49,693,879,493",0.00%,USA,Analyze
180,MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$49,577,698,117",0.60%,USA,Analyze
181,DASH,DoorDash Inc,Common stocks,Large cap,Consumer Discretionary,"$49,567,666,400",0.00%,USA,Analyze
182,DLR,"Digital Realty Trust, Inc",REITs,Large cap,Real Estate,"$49,237,123,616",2.65%,USA,Analyze
183,CNC,Centene Corp,Common stocks,Large cap,Health Care,"$49,230,142,373",0.00%,USA,Analyze
184,PAYX,Paychex Inc,Common stocks,Large cap,Information Technology,"$48,910,527,567",1.90%,USA,Analyze
185,BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$48,327,048,607",2.20%,USA,Analyze
186,NEM,Newmont Corporation,Common stocks,Large cap,Materials,"$47,989,656,595",3.61%,USA,Analyze
187,A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$47,939,606,516",0.49%,USA,Analyze
188,TT,Trane Technologies plc,Common stocks,Large cap,Industrials,"$47,522,288,011",1.17%,USA,Analyze
189,SCCO,Southern Copper Corp,Common stocks,Large cap,Materials,"$47,397,612,602",5.12%,Peru,Analyze
190,AIG,American International Group Inc,Common stocks,Large cap,Financials,"$47,243,933,895",2.23%,USA,Analyze
191,DDOG,"Datadog, Inc. - Class A",Common stocks,Large cap,Information Technology,"$47,187,921,848",0.00%,USA,Analyze
192,KMB,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"$47,072,997,736",3.22%,USA,Analyze
193,ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$46,655,496,526",0.00%,USA,Analyze
194,CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$46,388,291,410",0.95%,USA,Analyze
195,CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$46,269,425,248",1.08%,USA,Analyze
196,ZS,Zscaler Inc,Common stocks,Large cap,Information Technology,"$46,211,545,085",0.00%,USA,Analyze
197,STZ,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"$46,138,879,174",1.22%,USA,Analyze
198,CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"$45,714,442,418",0.77%,USA,Analyze
199,MSI,Motorola Solutions Inc,Common stocks,Large cap,Information Technology,"$45,419,912,473",1.08%,USA,Analyze
200,PXD,Pioneer Natural Resource,Common stocks,Large cap,Energy,"$45,352,717,635",1.67%,USA,Analyze
201,KKR,KKR & Co Inc.,Common stocks,Large cap,Financials,"$45,191,962,863",0.56%,USA,Analyze
202,TROW,T Rowe Price Group Inc,Common stocks,Large cap,Financials,"$44,797,437,886",2.13%,USA,Analyze
203,APTV,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"$44,215,536,183",0.00%,Ireland,Analyze
204,TWLO,Twilio Inc Class A,Common stocks,Large cap,Information Technology,"$44,190,808,347",0.00%,USA,Analyze
205,WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$43,912,514,921",3.67%,USA,Analyze
206,AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$43,857,988,033",3.40%,USA,Analyze
207,CRWD,"CrowdStrike Holdings, Inc. - Class A",Common stocks,Large cap,Information Technology,"$43,648,567,261",0.00%,USA,Analyze
208,RSG,Republic Services Inc,Common stocks,Large cap,Industrials,"$43,530,773,458",1.26%,USA,Analyze
209,KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$43,367,824,393",4.44%,USA,Analyze
210,BAX,Baxter International Inc,Common stocks,Large cap,Health Care,"$43,360,051,991",1.25%,USA,Analyze
211,HLT,Hilton Worldwide Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$43,282,689,998",0.00%,USA,Analyze
212,NET,"Cloudflare, Inc. Class A",Common stocks,Large cap,Information Technology,"$42,696,262,000",0.00%,USA,Analyze
213,EBAY,Ebay Inc,Common stocks,Large cap,Consumer Discretionary,"$42,682,664,156",1.09%,USA,Analyze
214,TTD,Trade Desk Inc Class A,Common stocks,Large cap,Information Technology,"$42,595,991,787",0.00%,USA,Analyze
215,U,Unity Software Inc.,Common stocks,Large cap,Information Technology,"$42,332,427,722",0.00%,USA,Analyze
216,SPOT,Spotify Technology SA,Common stocks,Large cap,Communication Services,"$42,314,180,000",0.00%,Luxembourg,Analyze
217,AZO,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$42,239,846,676",0.00%,USA,Analyze
218,SBAC,SBA Communications Corporation,REITs,Large cap,Real Estate,"$41,998,411,359",0.60%,USA,Analyze
219,SLB,Schlumberger Nv,Common stocks,Large cap,Energy,"$41,854,556,366",1.67%,USA,Analyze
220,DD,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"$41,745,154,589",1.49%,USA,Analyze
221,SRE,Sempra Energy,Common stocks,Large cap,Utilities,"$41,563,775,563",4.18%,USA,Analyze
222,DOW,Dow Inc.,Common stocks,Large cap,Materials,"$41,322,257,198",4.93%,USA,Analyze
223,LHX,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"$41,272,102,895",1.93%,USA,Analyze
224,HPQ,HP Inc,Common stocks,Large cap,Information Technology,"$41,251,729,498",2.17%,USA,Analyze
225,PRU,Prudential Financial Inc,Common stocks,Large cap,Financials,"$41,137,740,000",4.16%,USA,Analyze
226,DELL,Dell Technologies Inc. Class C,Common stocks,Large cap,Information Technology,"$40,978,400,000",0.00%,USA,Analyze
227,ODFL,Old Dominion Freight Line Inc,Common stocks,Large cap,Industrials,"$40,897,972,763",0.22%,USA,Analyze
228,PH,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"$40,678,838,073",1.25%,USA,Analyze
229,SIVB,SVB Financial Group,Common stocks,Large cap,Financials,"$40,471,999,271",0.00%,USA,Analyze
230,YUM,Yum Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$40,455,299,545",1.44%,USA,Analyze
231,ROK,Rockwell Automation Inc,Common stocks,Large cap,Industrials,"$40,398,344,198",1.24%,USA,Analyze
232,PPG,PPG Industries Inc,Common stocks,Large cap,Materials,"$40,296,420,788",1.32%,USA,Analyze
233,GIS,General Mills Inc,Common stocks,Large cap,Consumer Staples,"$39,847,834,602",3.06%,USA,Analyze
234,SYY,Sysco Corp,Common stocks,Large cap,Consumer Staples,"$39,735,993,146",2.35%,USA,Analyze
235,ROST,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$39,703,662,322",1.01%,USA,Analyze
236,EPAM,Epam Systems Inc,Common stocks,Large cap,Information Technology,"$39,533,532,623",0.00%,USA,Analyze
237,HSY,Hershey Foods,Common stocks,Large cap,Consumer Staples,"$39,522,002,960",1.78%,USA,Analyze
238,MPC,Marathon Petroleum Corp,Common stocks,Large cap,Energy,"$39,446,858,598",3.57%,USA,Analyze
239,GPN,Global Payments Inc,Common stocks,Large cap,Information Technology,"$38,746,764,674",0.66%,USA,Analyze
