Symbol;Description;Category2;Category3;Sector;Market cap;Dividend yield;Country;Action
IDXX;Idexx Laboratories Inc;Common stocks;Large cap;Health Care;$55,526,246,263;0.00%;USA;Analyze
DXCM;Dexcom Inc;Common stocks;Large cap;Health Care;$55,233,928,736;0.00%;USA;Analyze
XLNX;Xilinx Inc;Common stocks;Large cap;Information Technology;$55,222,798,854;0.17%;USA;Analyze
EMR;Emerson Electric;Common stocks;Large cap;Industrials;$54,831,933,000;2.19%;USA;Analyze
MAR;Marriott International Inc;Common stocks;Large cap;Consumer Discretionary;$54,294,629,601;0.00%;USA;Analyze
IQV;IQVIA Holdings, Inc.;Common stocks;Large cap;Health Care;$54,046,175,774;0.00%;USA;Analyze
WDAY;Workday Inc;Common stocks;Large cap;Information Technology;$53,914,550,000;0.00%;USA;Analyze
ZM;Zoom Video Communications, Inc. - Class A;Common stocks;Large cap;Information Technology;$53,609,153,580;0.00%;USA;Analyze
EXC;Exelon Corp;Common stocks;Large cap;Utilities;$53,595,008,095;2.76%;USA;Analyze
EOG;EOG Resources Inc;Common stocks;Large cap;Energy;$53,114,468,475;1.72%;USA;Analyze
CDNS;Cadence Design Systems Inc;Common stocks;Large cap;Information technology;$53,114,072,650;0.00%;USA;Analyze
MET;Metlife Inc;Common stocks;Large cap;Financials;$52,564,100,461;3.01%;USA;Analyze
ALGN;Align Technology Inc;Common stocks;Large cap;Health Care;$52,127,398,324;0.00%;USA;Analyze
DG;Dollar General Corp;Common stocks;Large cap;Consumer Discretionary;$52,062,134,384;0.72%;USA;Analyze
SPG;Simon Property Group, Inc;REITs;Large cap;Real Estate;$52,061,866,554;3.64%;USA;Analyze
APH;Amphenol Corp;Common stocks;Large cap;Information Technology;$51,986,555,089;0.73%;USA;Analyze
ROP;Roper Technologies Inc;Common stocks;Large cap;Industrials;$51,448,944,349;0.46%;USA;Analyze
KDP;Keurig Dr Pepper Inc.;Common stocks;Large cap;Consumer Staples;$51,202,593,159;1.86%;USA;Analyze
MSCI;MSCI Inc;Common stocks;Large cap;Financials;$51,015,553,222;0.59%;USA;Analyze
ATVI;Activision Blizzard Inc;Common stocks;Large cap;Communication Services;$50,978,257,823;0.72%;USA;Analyze
MNST;Monster Beverage Corp;Common stocks;Large cap;Consumer Staples;$50,162,388,102;0.00%;USA;Analyze
